Population,Time,Rounds,SegmentError
212,5676.3660044670105,3100,0.0003422934872408708
213,3828.5876274108887,2100,0.0005086634773761034
214,2023.557137966156,1100,0.019282255321741104
215,3872.242379426956,2100,0.0006108115970467528
216,3914.80021071434,2100,0.014202224711577097
217,3924.3411123752594,2100,0.012998700141906738
218,2071.2529985904694,1100,0.006492482498288155
219,3984.9884374141693,2100,0.006570023794968923
220,2196.615044116974,1100,0.0017012557946145535
221,4247.529289960861,2100,0.0001975393194394807
222,6297.829505205154,3100,0.0073152997841437655
223,2244.0619773864746,1100,0.006805022557576497
224,4313.854996681213,2100,0.0003325819658736388
225,4343.888178348541,2100,3.262844014291962e-05
226,4349.818652391434,2100,0.00407526424775521
227,6475.834822654724,3100,0.00020648249968265495
228,2309.9978201389313,1100,0.010202127198378244
229,6204.232059717178,3100,2.2272773397465546e-05
230,4257.621509313583,2100,0.0006508505515133342
231,4243.77267241478,2100,0.011679962277412415
232,2220.4821305274963,1100,0.014533826460440954
233,6341.519280910492,3100,2.015847955287124e-05
234,4328.274103403091,2100,0.026027182737986248
235,6389.683092832565,3100,2.7484376914799213e-05
236,4360.59032201767,2100,0.002345300124337276
237,4385.732239723206,2100,0.0003891773521900177
238,4401.451116800308,2100,0.001648170097420613
239,4405.360895872116,2100,0.004033729744454225
240,4432.55734038353,2100,0.003122972014049689
241,4458.016465187073,2100,2.508960945609336e-05
242,4472.050126314163,2100,0.00031814749430244166
243,4492.892845392227,2100,0.0019499013821283977
244,6653.752568483353,3100,0.00011913280468434095
245,4538.920025110245,2100,0.0005093028691286842
246,4571.649200439453,2100,0.00014900449120129147
247,4829.012052536011,2100,0.0011005564592778683
248,4867.264694929123,2100,0.0033695080007116
249,7213.625631570816,3100,0.0003821984864771366
250,2566.899425983429,1100,0.002609871638317903
251,4949.277370691299,2100,5.031056934967637e-05
252,4965.117808580399,2100,0.010323245078325272
253,4990.550901412964,2100,0.0006520438473671675
254,7397.3822276592255,3100,0.0002023194683715701
255,7415.341094255447,3100,0.0005854573100805283
256,2738.7191138267517,1100,0.01553146168589592
257,7580.990170955658,3100,0.00024184671929106116
